route_id,service_id,trip_id,shape_id,trip_headsign,direction_id
"0-75-y12-1","1","1020.994.0-75-y12-1.78.O","0-75-y12-1.78.O","The Square - Queen's Road","0"
"0-75-y12-1","1","1012.994.0-75-y12-1.78.O","0-75-y12-1.78.O","The Square - Queen's Road","0"
"0-75-y12-1","1","1064.994.0-75-y12-1.78.O","0-75-y12-1.78.O","The Square - Queen's Road","0"
"0-75-y12-1","1","1043.994.0-75-y12-1.78.O","0-75-y12-1.78.O","The Square - Queen's Road","0"
"0-75-y12-1","1","1054.994.0-75-y12-1.78.O","0-75-y12-1.78.O","The Square - Queen's Road","0"
"0-75-y12-1","1","1048.995.0-75-y12-1.78.O","0-75-y12-1.78.O","The Square - Queen's Road","0"
"0-75-y12-1","1","1033.995.0-75-y12-1.78.O","0-75-y12-1.78.O","The Square - Queen's Road","0"
"0-75-y12-1","1","766.995.0-75-y12-1.78.O","0-75-y12-1.78.O","The Square - Queen's Road","0"
"0-75-y12-1","1","1045.995.0-75-y12-1.78.O","0-75-y12-1.78.O","The Square - Queen's Road","0"
"0-75-y12-1","1","1077.995.0-75-y12-1.78.O","0-75-y12-1.78.O","The Square - Queen's Road","0"
"0-75-y12-1","1","1024.995.0-75-y12-1.78.O","0-75-y12-1.78.O","The Square - Queen's Road","0"
"0-75-y12-1","1","1075.995.0-75-y12-1.78.O","0-75-y12-1.78.O","The Square - Queen's Road","0"
"0-75-y12-1","1","1022.995.0-75-y12-1.78.O","0-75-y12-1.78.O","The Square - Queen's Road","0"
"0-75-y12-1","1","1014.995.0-75-y12-1.78.O","0-75-y12-1.78.O","The Square - Queen's Road","0"
"0-75-y12-1","1","1050.996.0-75-y12-1.78.O","0-75-y12-1.78.O","The Square - Queen's Road","0"
"0-75-y12-1","1","1058.996.0-75-y12-1.78.O","0-75-y12-1.78.O","The Square - Queen's Road","0"
"0-75-y12-1","1","1047.996.0-75-y12-1.78.O","0-75-y12-1.78.O","The Square - Queen's Road","0"
"0-75-y12-1","1","1037.996.0-75-y12-1.78.O","0-75-y12-1.78.O","The Square - Queen's Road","0"
"0-75-y12-1","1","1006.997.0-75-y12-1.78.O","0-75-y12-1.78.O","The Square - Queen's Road","0"
"0-75-y12-1","1","1056.983.0-75-y12-1.78.O","0-75-y12-1.78.O","The Square - Queen's Road","0"
"0-75-y12-1","1","1016.983.0-75-y12-1.78.O","0-75-y12-1.78.O","The Square - Queen's Road","0"
"0-75-y12-1","1","1035.983.0-75-y12-1.78.O","0-75-y12-1.78.O","The Square - Queen's Road","0"
"0-75-y12-1","1","1066.1000.0-75-y12-1.79.O","0-75-y12-1.79.O","The Square - Queen's Road","0"
"0-75-y12-1","1","1039.1001.0-75-y12-1.79.O","0-75-y12-1.79.O","The Square - Queen's Road","0"
"0-75-y12-1","1","1008.1001.0-75-y12-1.79.O","0-75-y12-1.79.O","The Square - Queen's Road","0"
"0-75-y12-1","1","1060.1001.0-75-y12-1.79.O","0-75-y12-1.79.O","The Square - Queen's Road","0"
"0-75-y12-1","1","1068.1001.0-75-y12-1.79.O","0-75-y12-1.79.O","The Square - Queen's Road","0"
"0-75-y12-1","1","1027.1001.0-75-y12-1.79.O","0-75-y12-1.79.O","The Square - Queen's Road","0"
"0-75-y12-1","1","1034.958.0-75-y12-1.80.I","0-75-y12-1.80.I","Queen's Road - The Square","1"
"0-75-y12-1","1","1049.958.0-75-y12-1.80.I","0-75-y12-1.80.I","Queen's Road - The Square","1"
"0-75-y12-1","1","1025.958.0-75-y12-1.80.I","0-75-y12-1.80.I","Queen's Road - The Square","1"
"0-75-y12-1","1","1057.958.0-75-y12-1.80.I","0-75-y12-1.80.I","Queen's Road - The Square","1"
"0-75-y12-1","1","1072.963.0-75-y12-1.80.I","0-75-y12-1.80.I","Queen's Road - The Square","1"
"0-75-y12-1","1","1019.963.0-75-y12-1.80.I","0-75-y12-1.80.I","Queen's Road - The Square","1"
"0-75-y12-1","1","1079.963.0-75-y12-1.80.I","0-75-y12-1.80.I","Queen's Road - The Square","1"
"0-75-y12-1","1","1011.963.0-75-y12-1.80.I","0-75-y12-1.80.I","Queen's Road - The Square","1"
"0-75-y12-1","1","1061.967.0-75-y12-1.80.I","0-75-y12-1.80.I","Queen's Road - The Square","1"
"0-75-y12-1","1","1069.967.0-75-y12-1.80.I","0-75-y12-1.80.I","Queen's Road - The Square","1"
"0-75-y12-1","1","1028.967.0-75-y12-1.80.I","0-75-y12-1.80.I","Queen's Road - The Square","1"
"0-75-y12-1","1","1040.967.0-75-y12-1.80.I","0-75-y12-1.80.I","Queen's Road - The Square","1"
"0-75-y12-1","1","1021.969.0-75-y12-1.80.I","0-75-y12-1.80.I","Queen's Road - The Square","1"
"0-75-y12-1","1","1063.969.0-75-y12-1.80.I","0-75-y12-1.80.I","Queen's Road - The Square","1"
"0-75-y12-1","1","1030.969.0-75-y12-1.80.I","0-75-y12-1.80.I","Queen's Road - The Square","1"
"0-75-y12-1","1","1042.969.0-75-y12-1.80.I","0-75-y12-1.80.I","Queen's Road - The Square","1"
"0-75-y12-1","1","1053.969.0-75-y12-1.80.I","0-75-y12-1.80.I","Queen's Road - The Square","1"
"0-75-y12-1","1","1074.969.0-75-y12-1.80.I","0-75-y12-1.80.I","Queen's Road - The Square","1"
"0-75-y12-1","1","1013.969.0-75-y12-1.80.I","0-75-y12-1.80.I","Queen's Road - The Square","1"
"0-75-y12-1","1","1023.970.0-75-y12-1.80.I","0-75-y12-1.80.I","Queen's Road - The Square","1"
"0-75-y12-1","1","1067.970.0-75-y12-1.80.I","0-75-y12-1.80.I","Queen's Road - The Square","1"
"0-75-y12-1","1","1065.970.0-75-y12-1.80.I","0-75-y12-1.80.I","Queen's Road - The Square","1"
"0-75-y12-1","1","1032.970.0-75-y12-1.80.I","0-75-y12-1.80.I","Queen's Road - The Square","1"
"0-75-y12-1","1","1044.970.0-75-y12-1.80.I","0-75-y12-1.80.I","Queen's Road - The Square","1"
"0-75-y12-1","1","1051.971.0-75-y12-1.80.I","0-75-y12-1.80.I","Queen's Road - The Square","1"
"0-75-y12-1","1","1046.971.0-75-y12-1.80.I","0-75-y12-1.80.I","Queen's Road - The Square","1"
"0-75-y12-1","1","1036.971.0-75-y12-1.80.I","0-75-y12-1.80.I","Queen's Road - The Square","1"
"0-75-y12-1","1","1059.971.0-75-y12-1.80.I","0-75-y12-1.80.I","Queen's Road - The Square","1"
"0-75-y12-1","1","1007.972.0-75-y12-1.80.I","0-75-y12-1.80.I","Queen's Road - The Square","1"
