SSID,R-squared,MAPE,MdAPE,Row_Count,Outlier%_Cut,JPID_Count
21262127,0.169416252501,23.9365523707,19.8767370448,5343,0.37292560134253216,4
71057106,0.195436857133,29.1256794306,38.4732111178,1999,0.05,3
27990753,0.266028321767,32.6641264352,28.4264335629,1644,0.30321406913280774,1
38333834,0.280803191503,25.9986316958,20.2946158604,1333,0.07496251874062969,6
20877053,0.502883589815,24.979563482,20.8359596534,887,1.4444444444444444,2
12591260,0.171138651903,22.4603352462,17.4338010981,2843,0.035161744022503515,3
02770288,0.153913549186,42.7501438674,43.7963131141,3761,1.2342436974789917,8
41434144,0.329007406437,21.2469029853,15.2059278864,1317,0.07587253414264036,3
72427238,0.0921664419753,29.2640795601,27.2649978944,4292,0.06984866123399301,8
02630271,0.26138668533,22.3509440054,18.8275231366,2915,1.1529331976941335,1
45694570,0.256047063243,25.1117557783,23.0327886798,7054,0.9130495856159573,6
38343835,0.258782563716,28.922993786,22.3522040604,1455,0.06868131868131869,6
06020603,0.31698313568,28.7092595538,34.711500859,770,0.0,1
34232156,0.49378329307,14.0239533838,11.9105693015,839,0.23781212841854935,5
72466320,0.12195024773,23.4991528434,20.5295631893,3665,0.08178844056706652,2
03480403,0.297838970464,23.4445608096,20.5344082115,9090,0.4053905993206968,6
10511052,0.126924322084,26.5571863761,17.3217641956,2617,0.4185692541856925,2
15291530,0.567577947968,25.0000468445,17.6332611093,405,0.4914004914004914,2
62836282,0.0655638508133,50.9680038383,36.8790575982,3238,5.183016105417277,1
04030747,0.31319360095,18.1597787388,16.1213633758,3057,0.8433344145313006,7
60246021,0.200557478147,5.58846199647,2.73709119314,825,32.926829268292686,1
34763477,0.227283734671,26.7994860286,21.5354387594,796,0.0,2
29452946,0.281598746295,4.6272344277,2.3360941941,515,39.624853458382184,2
73827381,0.266209272698,22.0473997986,16.5333563666,1754,0.9599096555618295,4
60852053,0.487511038725,12.8127308842,10.2534219592,143,0.6944444444444444,1
32003201,0.357130297507,24.8629304653,21.4716829761,725,0.9562841530054644,1
05390540,0.158883552211,30.9192416801,37.3124995655,2608,0.0,8
36904330,0.788544148214,8.96522319945,6.96490524173,107,6.956521739130435,2
39233112,0.269519624092,21.8752280556,15.6481853734,1786,0.6121313299944352,2
16751849,0.304949941557,32.1288012145,28.659261535,1354,0.2210759027266028,2
35433139,0.336808500024,18.4420020052,16.4989608079,1447,1.1612021857923498,3
23712372,0.269640066968,22.7865317408,17.2774219699,6056,0.948642459928034,3
50926000,0.149555564394,13.4454925452,10.1211335276,2516,7.158671586715867,3
11531154,0.17414819005,30.0106348993,23.8730547737,3945,0.6297229219143576,2
17651767,0.431402823807,15.4269962507,11.5286824632,1942,0.9688934217236104,2
35373538,0.192806555333,26.5650577337,19.1635837082,1589,0.5632040050062578,4
31073108,0.239424689922,5.4685107333,4.22600550261,585,12.293853073463268,1
20622063,0.145398666558,32.4097542907,26.4127491892,10419,0.6863025450386046,13
20552056,0.457790376077,31.6823101993,30.4234858131,1379,0.36127167630057805,3
06680614,0.183491135275,37.1328921819,38.262117522,17339,0.011533360244507237,17
32423243,0.192580829334,29.8156562888,25.9050324582,1336,0.07479431563201197,3
71177118,0.28667500891,32.1973528994,38.4585174944,1087,0.6398537477148081,1
06640614,0.749107870075,7.71605751474,5.02933623027,83,0.0,4
60740791,0.401105634805,15.912861431,13.6836824698,135,0.0,1
41114112,0.380693507969,18.8656928826,19.5701685189,548,0.18214936247723132,6
41714172,0.179468825027,29.0266635246,27.8857822098,3861,1.1267605633802817,3
37903791,0.191846269256,31.2617332918,24.8071207823,1334,0.2243829468960359,6
61053073,0.420695388928,14.7117275986,12.6223883828,325,1.5151515151515151,2
04004522,0.30501327943,22.8737320009,20.0665871272,3090,0.6750241080038573,3
32483343,0.189131876037,17.8873602707,9.39443758524,1321,3.8573508005822417,4
63110333,0.562430816939,4.65121468949,3.48436303629,215,3.1531531531531534,3
20322033,0.0898356921731,31.3560595176,24.457641365,4661,0.19271948608137046,11
43894390,0.332227847752,5.40699937247,2.5732178378,362,35.587188612099645,1
01850186,0.331927154336,26.4957249396,25.3676481977,9031,0.13269932544509566,10
47810107,0.349496144867,17.4810899629,13.1928857611,476,0.0,2
36723674,0.0939584528287,16.1862597734,15.0777672753,4592,0.08703220191470844,11
21851421,0.257486845704,20.0209411696,17.1746031052,1996,0.0500751126690035,1
28010375,0.116061427391,32.6469477342,19.374528784,774,17.659574468085108,1
34173418,0.61458993398,14.7911699064,9.05365701043,110,0.9009009009009009,4
22064798,0.0333857895595,5.51334689236,2.62019577661,3634,35.896983594990296,4
06751500,0.27026912098,25.2813122963,19.205823163,982,1.6032064128256514,1
10091010,0.172245663158,5.80818347953,2.84501940108,1190,37.10359408033827,4
15341535,0.193963745064,27.4800667756,22.3941451411,9237,0.1189446366782007,9
36333634,0.281960598616,28.6590602471,22.5679331294,1831,0.8662696264212236,3
04457393,0.370770361944,28.2400538703,24.2475703913,1365,1.0869565217391304,3
32623153,0.223393355043,32.5474209007,28.3084763332,1189,1.1637572734829593,3
00176312,0.999999997791,0.000149765421504,0.000106631939563,5,0.0,1
44550381,0.322660344705,38.5541023189,37.645670664,950,0.6276150627615062,2
22272229,0.610483804716,14.236115434,11.3822925495,514,1.5325670498084292,1
29812954,0.760715246378,6.0194941345,1.75488780599,25,0.0,1
38053806,0.908897443847,1.73170727433,0.919187793628,53,1.8518518518518519,3
73897025,0.422632378725,10.7025766249,7.6923419849,5133,1.8734467597017779,5
20082071,0.694203290991,16.8704152132,14.9359320844,151,0.0,1
71120972,0.0527801798713,5.88724875428,2.66944908667,2825,37.25011106175033,7
32134834,0.375849169469,19.4408072976,16.3710499042,1154,0.4314063848144953,1
13071308,0.35320572603,33.9566365208,30.2501897107,1503,3.4061696658097684,9
01560157,0.390794121775,2.83919803197,2.18208504787,427,37.02064896755162,2
37193718,0.281140419433,17.8471271452,14.6181378956,782,0.3821656050955414,2
11981782,0.467331862211,16.0123128551,14.2197018993,896,0.0,1
74691724,0.338602826564,31.2065394385,26.4997527575,3907,0.07672634271099744,1
18561857,0.453878957025,18.7008829264,15.9709911631,303,0.32894736842105265,2
46294630,0.175824118761,15.81842012,10.1381248346,4078,0.2690144289557349,2
41564168,0.282043187457,67.4946206288,106.236517058,1874,4.0450588837685615,8
45924937,0.145096006851,6.31320691106,4.80054927914,1262,11.314125087842585,3
32983260,0.957940105355,3.82288162996,0.528216559888,18,0.0,1
00920093,0.190060292313,26.3565933749,20.3022508891,7522,0.4236166269526079,13
26802676,0.150028084967,24.2376067644,18.0058766696,4191,0.14295925661186562,2
72944132,0.268596644001,27.070984952,20.7565217183,3864,0.7704160246533128,4
15311532,0.169771094128,28.27419272,24.1457082415,5312,0.468427955780401,9
34283429,0.980627671231,2.23614928423,2.1243213123,38,0.0,1
21172118,0.288167106669,15.1711956907,13.0095821307,1374,1.079913606911447,2
28962897,0.253940369456,27.8794087344,32.4281628593,1549,0.7051282051282052,3
26974414,0.404273505328,20.1926234164,17.1690400693,1600,1.2345679012345678,2
36443645,0.346427135441,23.8537912553,27.7491631256,457,0.2183406113537118,2
40084010,0.85686330423,11.1019844828,8.67346774202,82,1.2048192771084338,3
04612068,0.15233962181,38.4327272645,33.9923589331,10575,0.07559293206085231,17
03241634,0.995175604029,1.12225218162,0.793709399222,23,0.0,2
42356019,0.251098484274,29.2171325583,34.6131540829,819,0.9673518742442564,1
24152327,0.402659145221,31.7932127283,27.4019601318,1317,0.1516300227445034,4
19451946,0.103710010981,16.7100162262,10.6557397082,5386,0.6456373362848183,8
36983699,0.110998101798,6.64730432366,4.88563231629,1974,15.387912558936991,9
02740007,0.480402800761,18.9673665373,16.0059420579,2271,1.6883116883116882,1
24552456,0.166015693932,27.72019416,21.202155347,2936,0.06807351940095303,1
46684677,0.296045431921,22.6060647251,19.4956513335,2925,0.17064846416382254,6
24792480,0.10315590278,22.2407627678,22.3941481238,5208,0.22988505747126436,6
62296348,0.217679971524,30.3899374601,29.1748137875,2694,0.07418397626112759,3
03880389,0.163731388949,30.4304862066,33.1689752603,1979,0.15136226034308778,4
02656059,0.246929121563,25.8738370476,20.5930277012,2500,5.695963787250094,5
51925190,0.399702440702,40.1211408687,32.9579886046,395,2.70935960591133,6
15301531,0.465247971452,21.7586053995,18.8669073981,408,0.0,2
41904097,0.258885939985,12.1970061429,10.5434683926,791,0.5031446540880503,4
04483181,0.427657298751,26.9778884973,24.8325443622,895,6.08604407135362,2
02540244,0.544976528526,4.07371102559,0.676074829512,23,0.0,1
24752476,0.161613449117,41.4830911848,45.3331369156,4982,0.06018054162487462,6
61154593,0.297260068102,23.2687394632,20.776008651,3951,0.3028009084027252,2
24862487,0.205698844387,26.3420805774,23.7964917072,5210,0.15331544653123802,6
16131614,0.209835040957,23.4947161057,18.525268078,3201,1.9902020820575628,6
19411942,0.203365592383,25.3976453356,21.4382587857,7106,0.04220002813335209,8
21604665,0.296498349691,25.7488514275,23.9084752149,1037,0.7655502392344498,8
36637348,0.267494832105,13.8233408248,11.1288458258,987,8.526413345690454,1
21812182,0.139278304315,31.5601601739,24.7359297358,3639,0.10979961570134504,5
14911492,0.139198826278,6.2546214854,4.96819055481,1494,12.065921130076516,1
11381139,0.255864279122,20.5431727936,18.9999720968,1550,0.7682458386683739,4
06270628,0.321666825622,3.21806184231,2.45872519358,641,28.1390134529148,1
26492650,0.180730045171,20.0619283578,14.6577594411,3109,0.09640102827763496,2
40144098,0.340162510646,24.3730159139,25.5565841693,477,0.0,3
43044148,0.134729649362,5.77726803752,2.73824348447,1500,38.52459016393443,5
72837282,0.514506154573,12.6268932769,10.8170817969,241,2.8225806451612905,1
03520353,0.217095657116,35.405421452,34.7274714704,6135,0.146484375,6
07680772,0.555320424133,14.0271107931,10.4362395723,343,0.29069767441860467,7
21422143,0.186007697298,27.0746737772,20.3653250142,2974,0.06720430107526881,8
01160117,0.138631868416,7.08010403747,4.98836269766,1024,22.129277566539923,8
21192120,0.260813600768,19.6589931468,17.0163921659,5942,0.5023442732752846,4
36903691,0.267731914095,32.783797687,26.4422258043,1046,1.876172607879925,3
22372239,0.358082376392,12.9117106488,10.0361632799,607,0.3284072249589491,14
15024494,0.196941353638,33.041927068,28.4920985967,2314,0.21561017680034497,2
04503181,0.377744249076,30.7535044611,24.0301563621,1949,7.102001906577693,7
35753576,0.125024045,23.4187014672,22.9688166307,2781,4.760273972602739,4
05231741,0.704268061003,12.0222052052,7.74277028334,74,0.0,2
25852586,0.243315429022,26.9756232681,25.6745310859,679,0.14705882352941177,3
18581859,0.183504252788,29.1558739941,28.0336124755,6276,0.206710128796311,5
31243125,0.199581817349,33.0940977038,37.7672620783,2166,3.6905291240551357,7
09054331,0.219573163316,13.3665953814,10.9013829945,1751,0.3414911781445646,4
36765073,0.191178213332,17.4594847093,15.2899759957,2670,0.18691588785046728,8
16380992,0.250484732854,21.8243254673,19.0649045196,2220,0.3590664272890485,2
43720179,0.19846196509,22.1967406214,14.9286097999,2277,6.103092783505154,3
33183320,0.969984960382,6.89248326955,5.43348008575,37,2.6315789473684212,1
07580760,0.424713755264,16.6409856354,14.4935199418,1041,0.5730659025787965,23
05470548,0.233080873444,25.5483031754,19.2338598643,2033,0.19636720667648502,7
44402628,0.306043294697,24.7664994585,23.9154631409,3428,0.9248554913294798,2
31683169,0.264779715524,24.3886841417,19.2225970674,710,0.2808988764044944,1
74614281,0.403942468053,10.7917765729,8.4099155711,1561,0.12795905310300704,3
14501451,0.124362281653,32.4302586689,39.0390292147,3891,0.17957927142124167,7
44001464,0.170255943576,30.4308186983,21.9744957297,3745,0.37243947858473,2
08170818,0.120446666174,33.1264198233,41.4947331943,8686,0.14944246465110933,11
17860624,0.273489640558,23.096903836,21.5494423489,905,0.11037527593818984,1
46864687,0.772750726706,9.1472621633,4.98678256557,71,8.974358974358974,2
47074708,0.194257803542,28.1036762141,22.1853304834,4435,0.15758667266996848,8
43201476,0.339770192597,33.2484026841,35.2666097112,439,4.772234273318872,3
24292430,0.111950650586,3.66544852422,2.5512280281,1613,35.168810289389064,1
07730774,0.0922214560715,36.3534425311,32.0170595471,12631,4.714846107423054,30
39147075,0.198788200357,12.8897550021,11.4024741875,1673,0.11940298507462686,1
13671369,0.513846321597,16.4796773436,12.5922055805,862,5.482456140350878,5
51712976,0.180013405569,9.96338180311,6.42068424825,1240,14.423740510697032,2
42534254,0.336620365574,15.2333146253,12.0844294293,504,9.67741935483871,3
34424240,0.324247764991,6.5757821884,4.92322426778,727,3.835978835978836,1
31023103,0.114737021222,6.84116507861,4.93487529138,1825,18.453976764968722,2
03130349,0.216841466035,22.9329998243,19.4320872455,9716,0.4100041000410004,4
74541380,0.208976010302,18.8219342047,15.5647516971,2428,0.8979591836734694,2
18611862,0.165994446494,29.1258395151,23.7491308393,5931,0.5699916177703269,5
43622959,0.247538733877,14.3012039961,11.7794565231,1653,9.175824175824175,1
70532088,0.502098894526,25.7142007705,22.3542620529,871,2.5727069351230427,2
04357353,0.193026936154,25.8373287742,19.3884843528,10140,0.10836370800906314,11
14391440,0.121571227417,23.3906289702,18.4339298411,1992,4.780114722753346,1
50894176,0.198203173576,20.3504422953,19.0206593539,1014,0.0,2
72344002,0.3626485322,16.5792882983,13.4231370394,744,0.6675567423230975,2
22332232,0.17192377225,32.7437852878,40.8060782951,5330,0.35520658066928396,7
25532554,0.27134093742,17.4652453106,13.3470667608,1895,0.4726890756302521,4
01670168,0.170262132906,27.6635262322,19.4930224877,2906,0.37709976002742546,2
19421943,0.105729749863,24.6901854341,15.4698265613,6605,5.696744717304398,8
30583059,0.35360575074,24.7839572967,19.650498838,1168,0.5110732538330494,3
37415165,0.224121848734,29.9904484503,22.1488066141,980,0.1019367991845056,4
16921693,0.142493371835,31.4249047539,39.0046590268,2109,0.23651844843897823,2
36413642,0.174478368722,22.7890720647,22.9437930061,3368,0.3845016267376516,5
07924842,0.308264394937,24.2048794802,18.696138801,5110,0.6029955261622253,5
12671268,0.212353917168,27.9730959944,22.0224822905,3283,0.09129640900791236,2
04080409,0.151001011257,27.1231643907,19.6565950756,5970,0.6986027944111777,8
48420297,0.443177842828,18.8571137008,12.8249184856,113,0.0,3
30616101,0.491396586434,15.996539247,10.378377497,320,0.0,3
61332228,0.39556761448,8.38300384195,6.9304213865,533,0.37383177570093457,1
73987397,0.139418018002,49.0188589974,53.924646459,3420,0.058445353594389245,1
02040205,0.172012202181,27.9308591734,24.2120603378,12131,0.2056597564988483,14
08480758,0.481491373722,17.226636964,12.2728144475,254,0.78125,6
